"file","id","study_type","type","authors","title","source","year","vl","no","pg","country","identifiers"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","PUB","CONFERENCE_PROC","McLaren S, Cookson JC, Silverstone JT","A comparative trial of bromperidol decanoate and fluphenazine decanoate in chronic schizophrenia","Annual General Meeting of the British Association for Psychopharmacology. Cambridge, England. July 15-18,1990","1990","","","","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","PUB","CONFERENCE_PROC","McLaren S, Cookson JC, Silverstone JT","Bromperidol decanoate: a comparative study in chronic schizophrenia","8th World Congress of Psychiatry; Athens, Greece","October 12-19, 1989","","","","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","PUB","JOURNAL_ARTICLE","McLaren S, Cookson JC, Silverstone T","Positive and negative symptoms, depression and social disability in chronic schizophrenia: a comparative trial of bromperidol and fluphenazine decanoates","International Clinical Psychopharmacology","1992","7","","67-72","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","PUB","CONFERENCE_PROC","Casacchia M, Di Michele V, Volonte MV, Rossi A","Bromperidol decanoate versus fluphenazine decanoate in schizophrenia","8th World Congress of Psychiatry. Athens, Greece","October 12-19, 1989","","","","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","PUB","JOURNAL_ARTICLE","Rossi A, Di Michele VD, Volonte MV, Casacchia M","Therapeutic evaluation of bromperidol decanoate in schizophrenia - a double-blind comparison vs. fluphenazine decanoate","Rivista Sperimentale di Freniatria e Medicina Legale delle Alienazioni Mentali","1990","114","","1379-86","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","PUB","JOURNAL_ARTICLE","Rossi P, Chini C, Casale A, Fusi A, Madonna M, Monaci C, Carta I","Action of bromperidol decanoate in the treatment of negative symptoms of schizophrenia - comparison with haloperidol decanoate","Rivista di Psichiatria","1992","27","","265-70","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","PUB","CONFERENCE_PROC","Bellini L, Smeraldi E, Virzi A, Aguglia E","Bromperidol decanoate versus placebo in residual schizophrenia","8th World Congress of Psychiatry. Athens, Greece","October 12-19, 1989","","","","","[]"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","PUB","JOURNAL_ARTICLE","Smeraldi E, Brancato V, Bellini L, Ronchi P, Volonte MV, Virzi A, Aguglia E","Bromperidol decanoate versus placebo in treating schizophrenia in the residual phase","New Trends in Experimental and Clinical Psychiatry","1990","6","","187-98","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","PUB","JOURNAL_ARTICLE","Azima H, Arthurs D, Silver A","The effects of chlordiazepoxide (librium) in anxiety states: A multi-blind study","Canadian Psychiatric Journal","1962","7","","44","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","PUB","JOURNAL_ARTICLE","Barbee J, Mancuso D, Freed C, Todorov AA","Alprazolam as a neuroleptic adjunct in the emergency treatment of schizophrenia [published erratum appears in American Journal of Psychiatry 1992 ;149:1129] [see comments]","American Journal of Psychiatry","1992","149","","506-10","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","PUB","JOURNAL_ARTICLE","Battaglia J, Moss S, Rush J, Kang J, Mendoza R, Leedom L, et al","Haloperidol, lorazepam, or both for psychotic agitation? A multicenter, prospective, double-blind, emergency department study","American Journal of Emergency Medicine","1997","15","","335-40","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","PUB","JOURNAL_ARTICLE","Carpenter T, Buchanan W , Kirkpatrick B, Breier F","Diazepam treatment of early signs of exacerbation in schizophrenia","American Journal of Psychiatry","1999","156","","299-303","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","PUB","JOURNAL_ARTICLE","Cheung HK","Schizophrenics fully remitted on neuroleptics for 3-5 years-To stop or continue drugs?","British Journal of Psychiatry","1981","138","","490-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","PUB","JOURNAL_ARTICLE","Chouinard G, Annable L, Turnier L, Holobow N, Szkrumelak N","A double-blind randomized clinical trial of rapid tranquilization with i.m. clonazepam and i.m. haloperidol in agitated psychotic patients with manic symptoms","Canadian Journal of Psychiatry","1993","38","Suppl 4","114-21","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","PUB","JOURNAL_ARTICLE","Dorevitch A, Kalian M, Shlafman M, Lerner V","Treatment of long-term tardive dyskinesia with Vitamin E","Biological Psychiatry","1997","41","","114-6","","[]"
