"file","id","modified","result","result_description","rob_name","rob_id","rob_description","group_id","group_name"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-02-14 15:12:12 +0000","UNKNOWN","Quote: ""Patients were randomly allocated ......"" - no further information.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-02-14 15:12:27 +0000","UNKNOWN","No information.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-02-14 15:46:05 +0000","UNKNOWN","Quote: ""Bromperidol decanoate or fluphenazine decanoate in identical ampoules"". Unclear if raters independent and unclear if blinding was successful.","Blinding (performance bias and detection bias)","QIT-03","Performance bias or detection bias due to knowledge of the allocated interventions after assignment","QIG-03.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-03-23 15:54:42 +0000","UNKNOWN","Unclear if raters were independent and unclear if blinding was successful.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-03-23 15:57:36 +0000","UNKNOWN","Insufficient information.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-02-14 15:15:46 +0000","YES","Number randomised, and number lost during follow-up reported.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-03-03 11:15:30 +0000","NO","No endpoint scores at Krawiecka-Goldberg scale, NSRS, MARDRS, Simpson & Angus scale, MRSS, AIMS, weight measures and blood samples.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-McLaren-1992","2011-02-14 15:21:38 +0000","NO","Funded by Jannsen Pharmaceuticals - who make bromperidol decanoate.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-03-02 11:57:43 +0000","UNKNOWN","Randomised - no further information.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-02-14 15:28:31 +0000","UNKNOWN","No information.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-02-14 16:06:24 +0000","UNKNOWN","Investigator involved in selection and outcome evaluation, did not access randomisation list and drug administration. ","Blinding (performance bias and detection bias)","QIT-03","Performance bias or detection bias due to knowledge of the allocated interventions after assignment","QIG-03.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-03-23 15:56:06 +0000","UNKNOWN","Unclear if raters were independent and unclear if blinding was successful.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-03-23 15:57:29 +0000","UNKNOWN","Insufficient information.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-02-14 18:12:56 +0000","UNKNOWN","Rating scale scores reported without denominator.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-02-14 16:31:29 +0000","NO","No endpoint scores (CGI, DOTES, TESS Write), scores reported without denominator (CBS, BPRS), vital signs measures - not reported.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1990","2011-02-14 15:34:40 +0000","UNKNOWN","Insufficient information.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-06-30 18:07:50 +0100","UNKNOWN","Randomised - no further information.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-02-14 15:31:35 +0000","UNKNOWN","No information.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-02-15 11:08:08 +0000","UNKNOWN","Quote: ""Drugs were provided in identical packages in order to maintain double-blindness"".","Blinding (performance bias and detection bias)","QIT-03","Performance bias or detection bias due to knowledge of the allocated interventions after assignment","QIG-03.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-03-23 15:56:27 +0000","UNKNOWN","Unclear if blinding was successful.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-03-23 15:57:14 +0000","UNKNOWN","Insufficient information.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-02-14 18:12:49 +0000","NO","Rating scale scores reported without denominator.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-02-15 11:17:21 +0000","NO","No endpoint scores (DOTES and TWIS scales), scores without SD (BPRS, HAM-D, SANS, SAPS), no vital signs measures.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
